銘柄コード,現在値,RSI14,PER,PBR,ROE(%),売上成長(%),粗利率(%),時価総額(B$),マッチ戦略数,マッチ戦略
ANET,135.9,51.2,49.6,13.8,31.4,28.9,64.1,171.1,7,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EVRev割安収益改善 | D-3_自社株買モメンタム | I-1_高ROIC | I-2_ターンアラウンド
LRCX,233.3,55.5,47.8,28.77,65.6,22.1,49.8,293.0,7,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EVRev割安収益改善 | D-3_自社株買モメンタム | F-1_AIデータインフラ | I-1_高ROIC | I-2_ターンアラウンド
MRVL,90.2,57.8,29.4,5.34,19.3,22.1,51.0,78.8,5,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | I-1_高ROIC | I-2_ターンアラウンド
MU,404.4,47.6,19.1,6.29,39.8,196.3,58.4,456.0,5,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EVRev割安収益改善 | I-1_高ROIC | I-2_ターンアラウンド
8766.T,6857.0,68.3,12.5,2.45,20.7,21.8,36.9,12880.2,5,B-3_売上加速FCF改善 | C-3_EVRev割安収益改善 | F-1_AIデータインフラ | H-3_テーマ成長加速 | I-2_ターンアラウンド
7453.T,3370.0,42.7,35.1,4.87,16.8,15.4,51.7,1788.3,3,B-2_EPS加速粗利拡大 | C-3_EVRev割安収益改善 | I-2_ターンアラウンド
PLTR,160.8,60.6,255.3,52.07,26.0,70.0,82.4,384.7,3,B-1_RuleOf40 | E-1_MACDダイバージェンス | I-1_高ROIC
ARM,136.9,66.9,182.5,18.64,11.3,26.3,97.5,145.4,3,B-1_RuleOf40 | C-3_EVRev割安収益改善 | I-2_ターンアラウンド
KLAC,1511.4,55.9,44.1,36.26,100.7,7.2,61.6,198.6,3,B-2_EPS加速粗利拡大 | D-3_自社株買モメンタム | I-2_ターンアラウンド
CAVA,87.1,62.3,161.2,12.97,8.6,20.9,37.4,10.1,3,B-3_売上加速FCF改善 | F-1_AIデータインフラ | H-3_テーマ成長加速
TSM,338.5,45.5,32.6,51.9,35.1,20.5,59.9,1755.4,2,B-3_売上加速FCF改善 | E-1_MACDダイバージェンス
8058.T,5426.0,59.4,31.0,2.21,8.5,9.9,8.5,19928.3,2,I-2_ターンアラウンド | I-4_高配当成長
7741.T,28235.0,55.3,46.4,9.29,24.2,10.5,34.1,9545.7,2,I-1_高ROIC | I-4_高配当成長
9270.T,1757.0,49.8,33.9,2.71,25.0,30.3,25.7,23.1,2,B-3_売上加速FCF改善 | E-1_MACDダイバージェンス
ADBE,247.6,35.7,14.4,8.88,58.8,12.0,89.4,101.7,1,E-1_MACDダイバージェンス
MSFT,383.0,33.4,24.0,7.28,34.4,16.7,68.6,2846.6,1,E-1_MACDダイバージェンス
AAPL,251.5,40.7,31.8,41.93,152.0,15.7,47.3,3696.4,1,H-4_安定ディフェンシブ
DDOG,129.2,55.6,416.9,12.21,3.3,29.2,80.0,45.7,1,I-2_ターンアラウンド
AMD,202.7,49.1,77.7,5.24,7.1,34.1,52.5,330.5,1,B-3_売上加速FCF改善
FTNT,82.8,51.6,34.2,49.68,135.7,14.8,80.5,61.6,1,B-2_EPS加速粗利拡大
ABNB,132.6,54.0,32.9,9.73,30.2,12.0,83.0,79.5,1,H-4_安定ディフェンシブ
LLY,910.5,31.9,39.7,30.7,101.2,42.6,83.0,815.0,1,E-1_MACDダイバージェンス
MELI,1666.1,36.2,42.4,12.52,36.0,44.6,50.7,84.5,1,E-1_MACDダイバージェンス
MPWR,1076.3,47.1,84.0,14.85,19.2,20.8,55.2,52.9,1,B-3_売上加速FCF改善
AMAT,361.8,56.6,37.2,13.22,38.9,-2.1,48.7,287.1,1,I-1_高ROIC
NET,220.6,63.9,,53.21,-8.2,33.6,74.5,77.7,1,F-2_サイバーセキュリティ
9432.T,156.4,55.9,12.5,1.34,10.7,5.5,27.8,12734.7,1,I-4_高配当成長
9433.T,2677.5,52.2,14.8,2.05,14.2,4.1,42.0,10193.5,1,D-3_自社株買モメンタム
JNJ,235.4,42.5,21.3,6.95,35.0,9.1,68.1,567.3,1,I-4_高配当成長
4543.T,2088.5,53.4,23.6,2.02,8.7,12.6,53.3,3080.7,1,I-4_高配当成長
4578.T,10610.0,53.9,15.5,1.85,12.5,8.4,71.7,5600.2,1,I-2_ターンアラウンド
4751.T,1370.5,51.0,23.2,3.73,20.1,14.0,31.6,694.6,1,I-2_ターンアラウンド
7716.T,2773.0,60.4,,2.02,-2.0,9.8,56.7,233.6,1,I-2_ターンアラウンド
4484.T,307.0,49.1,31.0,3.43,14.4,25.0,40.7,5.0,1,B-3_売上加速FCF改善
4385.T,3538.0,54.1,20.4,5.26,30.6,15.4,73.0,583.4,1,F-2_サイバーセキュリティ
4371.T,983.0,37.2,11.6,3.15,32.5,12.4,27.2,15.7,1,E-1_MACDダイバージェンス
2782.T,4060.0,47.2,25.3,3.2,12.4,6.8,41.6,254.4,1,I-4_高配当成長
